,Error,Accuracy,Precision,Test Time
500m,0.0375,0.9625,0.9625,0.0010020732879638672
1km,0.0,1.0,1.0,0.0045623779296875
1_5km,0.0125,0.9875,0.9875,0.0010113716125488281
2km,0.025,0.975,0.975,0.0015938282012939453
2_5km,0.1,0.9,0.9,0.0009942054748535156
