,Error,Accuracy,Precision,Test Time
500m,0.75,0.25,0.25,0.9095096588134766
1km,0.5375,0.4625,0.4625,2.2994027137756348
1_5km,0.2,0.8,0.8,1.4235341548919678
2km,0.1,0.9,0.9,1.1360998153686523
2_5km,0.275,0.725,0.725,0.19596004486083984
