,Error,Accuracy,Precision,Test Time
500m,0.025000000000000022,0.975,0.975,0.09148430824279785
1km,0.025000000000000022,0.975,0.975,0.12607812881469727
1_5km,0.025000000000000022,0.975,0.975,0.08048892021179199
2km,0.025000000000000022,0.975,0.975,0.08381938934326172
2_5km,0.1875,0.8125,0.8125,0.0769193172454834
