"classe", "MaxQ", "MinBER", "Attenuation" 
2, 2145.648279, 0.0, 9.3240
2, 2140.401065, 0.0, 9.38037
2, 2135.151532, 0.0, 9.43675
2, 2129.899772, 0.0, 9.49312
2, 2124.645879, 0.0, 9.54949
2, 2119.389945, 0.0, 9.60587
2, 2114.132062, 0.0, 9.66224
2, 2108.872323, 0.0, 9.71862
2, 2103.610821, 0.0, 9.77499
2, 2098.347648, 0.0, 9.83136
2, 2093.082897, 0.0, 9.88774
2, 2087.81666, 0.0, 9.94411
2, 2082.549031, 0.0, 10.0005
2, 2077.280102, 0.0, 10.0569
2, 2072.009966, 0.0, 10.1132
2, 2066.738714, 0.0, 10.1696
2, 2061.466441, 0.0, 10226.0
2, 2056.193238, 0.0, 10.2824
2, 2050.919198, 0.0, 10.3387
2, 2045.644414, 0.0, 10.3951
2, 2040.368977, 0.0, 10.4515
2, 2035.09298, 0.0, 10.5078
2, 2029.816515, 0.0, 10.5642
2, 2024.539674, 0.0, 10.6206
2, 2019.26255, 0.0, 10677.0
2, 2013.985234, 0.0, 10.7333
2, 2008.707818, 0.0, 10.7897
2, 2003.430394, 0.0, 10.8461
2, 1998.153053, 0.0, 10.9025
2, 1992.875887, 0.0, 10.9588
2, 1987.598987, 0.0, 11.0152
2, 1982.322443, 0.0, 11.0716
2, 1977.046348, 0.0, 11128.0
2, 1971.770792, 0.0, 11.1843
2, 1966.495864, 0.0, 11.2407
2, 1961.221657, 0.0, 11.2971
2, 1955.94826, 0.0, 11.3535
2, 1950.675763, 0.0, 11.4098
2, 1945.404256, 0.0, 11.4662
2, 1940.133828, 0.0, 11.5226
2, 1934.86457, 0.0, 11.5789
2, 1929.596569, 0.0, 11.6353
2, 1924.329916, 0.0, 11.6917
2, 1919.064699, 0.0, 11.7481
2, 1913.801005, 0.0, 11.8044
2, 1908.538925, 0.0, 11.8608
2, 1903.278544, 0.0, 11.9172
2, 1898.019952, 0.0, 11.9736
2, 1892.763236, 0.0, 12.0299
2, 1887.508482, 0.0, 12.0863
2, 1882.255777, 0.0, 12.1427
2, 1877.005209, 0.0, 12.1991
2, 1871.756862, 0.0, 12.2554
2, 1866.510824, 0.0, 12.3118
2, 1861.26718, 0.0, 12.3682
2, 1856.026015, 0.0, 12.4246
2, 1850.787414, 0.0, 12.4809
2, 1845.551461, 0.0, 12.5373
2, 1840.318242, 0.0, 12.5937
2, 1835.087839, 0.0, 12.6501
2, 1829.860337, 0.0, 12.7064
2, 1824.635819, 0.0, 12.7628
2, 1819.414367, 0.0, 12.8192
2, 1814.196065, 0.0, 12.8755
2, 1808.980994, 0.0, 12.9319
2, 1803.769236, 0.0, 12.9883
2, 1798.560872, 0.0, 13.0447
2, 1793.355984, 0.0, 13101.0
2, 1788.154652, 0.0, 13.1574
2, 1782.956957, 0.0, 13.2138
2, 1777.762977, 0.0, 13.2702
2, 1772.572793, 0.0, 13.3265
2, 1767.386483, 0.0, 13.3829
2, 1762.204125, 0.0, 13.4393
2, 1757.025799, 0.0, 13.4957
2, 1751.851582, 0.0, 13552.0
2, 1746.68155, 0.0, 13.6084
2, 1741.515782, 0.0, 13.6648
2, 1736.354352, 0.0, 13.7212
2, 1731.197338, 0.0, 13.7775
2, 1726.044814, 0.0, 13.8339
2, 1720.896855, 0.0, 13.8903
2, 1715.753537, 0.0, 13.9466
2, 1710.614932, 0.0, 14003.0
2, 1705.481116, 0.0, 14.0594
2, 1700.352161, 0.0, 14.1158
2, 1695.228139, 0.0, 14.1721
2, 1690.109123, 0.0, 14.2285
2, 1684.995184, 0.0, 14.2849
2, 1679.886395, 0.0, 14.3413
2, 1674.782825, 0.0, 14.3976
2, 1669.684544, 0.0, 14454.0
2, 1664.591624, 0.0, 14.5104
2, 1659.504132, 0.0, 14.5668
2, 1654.422138, 0.0, 14.6231
2, 1649.345709, 0.0, 14.6795
2, 1644.274915, 0.0, 14.7359
2, 1639.209821, 0.0, 14.7923
2, 1634.150495, 0.0, 14.8486
2, 1629.097002, 0.0, 14905.0
0, 2831.118818, 0.0, 1257.0
0, 2829.636878, 0.0, 1.27736
0, 2828.153366, 0.0, 1.29773
0, 2826.668284, 0.0, 1.31809
0, 2825.181633, 0.0, 1.33845
0, 2823.693414, 0.0, 1.35882
0, 2822.203629, 0.0, 1.37918
0, 2820.71228, 0.0, 1.39955
0, 2819.219367, 0.0, 1.41991
0, 2817.724894, 0.0, 1.44027
0, 2816.22886, 0.0, 1.46064
0, 2814.731268, 0.0, 1481.0
0, 2813.232119, 0.0, 1.50136
0, 2811.731415, 0.0, 1.52173
0, 2810.229157, 0.0, 1.54209
0, 2808.725347, 0.0, 1.56245
0, 2807.219987, 0.0, 1.58282
0, 2805.713077, 0.0, 1.60318
0, 2804.204621, 0.0, 1.62355
0, 2802.694619, 0.0, 1.64391
0, 2801.183073, 0.0, 1.66427
0, 2799.669984, 0.0, 1.68464
0, 2798.155355, 0.0, 1705.0
0, 2796.639187, 0.0, 1.72536
0, 2795.121481, 0.0, 1.74573
0, 2793.60224, 0.0, 1.76609
0, 2792.081464, 0.0, 1.78645
0, 2790.559157, 0.0, 1.80682
0, 2789.035318, 0.0, 1.82718
0, 2787.509951, 0.0, 1.84755
0, 2785.983057, 0.0, 1.86791
0, 2784.454638, 0.0, 1.88827
0, 2782.924694, 0.0, 1.90864
0, 2781.393229, 0.0, 1929.0
0, 2779.860244, 0.0, 1.94936
0, 2778.32574, 0.0, 1.96973
0, 2776.78972, 0.0, 1.99009
0, 2775.252186, 0.0, 2.01045
0, 2773.713138, 0.0, 2.03082
0, 2772.172579, 0.0, 2.05118
0, 2770.630511, 0.0, 2.07155
0, 2769.086935, 0.0, 2.09191
0, 2767.541854, 0.0, 2.11227
0, 2765.995269, 0.0, 2.13264
0, 2764.447183, 0.0, 2153.0
0, 2762.897596, 0.0, 2.17336
0, 2761.346511, 0.0, 2.19373
0, 2759.79393, 0.0, 2.21409
0, 2758.239855, 0.0, 2.23445
0, 2756.684287, 0.0, 2.25482
0, 2755.127229, 0.0, 2.27518
0, 2753.568682, 0.0, 2.29555
0, 2752.008649, 0.0, 2.31591
0, 2750.447131, 0.0, 2.33627
0, 2748.884131, 0.0, 2.35664
0, 2747.319649, 0.0, 2377.0
0, 2745.75369, 0.0, 2.39736
0, 2744.186253, 0.0, 2.41773
0, 2742.617342, 0.0, 2.43809
0, 2741.046958, 0.0, 2.45845
0, 2739.475103, 0.0, 2.47882
0, 2737.90178, 0.0, 2.49918
0, 2736.326991, 0.0, 2.51955
0, 2734.750736, 0.0, 2.53991
0, 2733.17302, 0.0, 2.56027
0, 2731.593843, 0.0, 2.58064
0, 2730.013207, 0.0, 2601.0
0, 2728.431116, 0.0, 2.62136
0, 2726.84757, 0.0, 2.64173
0, 2725.262572, 0.0, 2.66209
0, 2723.676125, 0.0, 2.68245
0, 2722.088229, 0.0, 2.70282
0, 2720.498888, 0.0, 2.72318
0, 2718.908104, 0.0, 2.74355
0, 2717.315878, 0.0, 2.76391
0, 2715.722214, 0.0, 2.78427
0, 2714.127112, 0.0, 2.80464
0, 2712.530575, 0.0, 2825.0
0, 2710.932606, 0.0, 2.84536
0, 2709.333207, 0.0, 2.86573
0, 2707.73238, 0.0, 2.88609
0, 2706.130126, 0.0, 2.90645
0, 2704.526449, 0.0, 2.92682
0, 2702.921351, 0.0, 2.94718
0, 2701.314833, 0.0, 2.96755
0, 2699.706898, 0.0, 2.98791
0, 2698.097549, 0.0, 3.00827
0, 2696.486788, 0.0, 3.02864
0, 2694.874616, 0.0, 3049.0
0, 2693.261037, 0.0, 3.06936
0, 2691.646052, 0.0, 3.08973
0, 2690.029665, 0.0, 3.11009
0, 2688.411876, 0.0, 3.13045
0, 2686.792689, 0.0, 3.15082
0, 2685.172106, 0.0, 3.17118
0, 2683.55013, 0.0, 3.19155
0, 2681.926762, 0.0, 3.21191
0, 2680.302005, 0.0, 3.23227
0, 2678.675861, 0.0, 3.25264
0, 2677.048334, 0.0, 3273.0
1, 2673.687197, 0.0, 3315.0
1, 2668.750511, 0.0, 3.37656
1, 2663.801313, 0.0, 3.43811
1, 2658.839671, 0.0, 3.49967
1, 2653.865655, 0.0, 3.56122
1, 2648.879334, 0.0, 3.62278
1, 2643.88078, 0.0, 3.68433
1, 2638.870064, 0.0, 3.74589
1, 2633.847259, 0.0, 3.80744
1, 2628.812438, 0.0, 3869.0
1, 2623.765674, 0.0, 3.93056
1, 2618.707043, 0.0, 3.99211
1, 2613.63662, 0.0, 4.05367
1, 2608.554481, 0.0, 4.11522
1, 2603.460704, 0.0, 4.17678
1, 2598.355366, 0.0, 4.23833
1, 2593.238546, 0.0, 4.29989
1, 2588.110323, 0.0, 4.36144
1, 2582.970778, 0.0, 4423.0
1, 2577.819992, 0.0, 4.48456
1, 2572.658045, 0.0, 4.54611
1, 2567.485021, 0.0, 4.60767
1, 2562.301002, 0.0, 4.66922
1, 2557.106073, 0.0, 4.73078
1, 2551.900318, 0.0, 4.79233
1, 2546.683822, 0.0, 4.85389
1, 2541.456672, 0.0, 4.91544
1, 2536.218955, 0.0, 4977.0
1, 2530.970757, 0.0, 5.03856
1, 2525.712167, 0.0, 5.10011
1, 2520.443275, 0.0, 5.16167
1, 2515.16417, 0.0, 5.22322
1, 2509.874942, 0.0, 5.28478
1, 2504.575682, 0.0, 5.34633
1, 2499.266482, 0.0, 5.40789
1, 2493.947435, 0.0, 5.46944
1, 2488.618633, 0.0, 5531.0
