"Classe de Chuva", "MaxQ", "MinBER", "Attenuation", "Distancia" 
0, 1663.643745, 0.0, 1.64391, 1km
0, 1659.968467, 0.0, 1.66427, 1km
0, 1656.296055, 0.0, 1.68464, 1km
0, 1652.626535, 0.0, 1.7050, 1km
0, 1648.959932, 0.0, 1.72536, 1km
0, 1645.296273, 0.0, 1.74573, 1km
0, 1641.635582, 0.0, 1.76609, 1km
0, 1637.977885, 0.0, 1.78645, 1km
0, 1634.323206, 0.0, 1.80682, 1km
0, 1630.671572, 0.0, 1.82718, 1km
0, 1627.023006, 0.0, 1.84755, 1km
0, 1623.377533, 0.0, 1.86791, 1km
0, 1619.735177, 0.0, 1.88827, 1km
0, 1616.095964, 0.0, 1.90864, 1km
0, 1612.459918, 0.0, 1.9290, 1km
0, 1608.827062, 0.0, 1.94936, 1km
0, 1605.19742, 0.0, 1.96973, 1km
0, 1601.571016, 0.0, 1.99009, 1km
0, 1597.947875, 0.0, 2.01045, 1km
0, 1594.328019, 0.0, 2.03082, 1km
0, 1590.711471, 0.0, 2.05118, 1km
0, 1587.098256, 0.0, 2.07155, 1km
0, 1583.488396, 0.0, 2.09191, 1km
0, 1579.881914, 0.0, 2.11227, 1km
0, 1576.278834, 0.0, 2.13264, 1km
0, 1572.679176, 0.0, 2.1530, 1km
0, 1569.082965, 0.0, 2.17336, 1km
0, 1565.490223, 0.0, 2.19373, 1km
0, 1561.900971, 0.0, 2.21409, 1km
0, 1558.315232, 0.0, 2.23445, 1km
0, 1554.733028, 0.0, 2.25482, 1km
0, 1551.15438, 0.0, 2.27518, 1km
0, 1547.57931, 0.0, 2.29555, 1km
0, 1544.007841, 0.0, 2.31591, 1km
0, 1540.439992, 0.0, 2.33627, 1km
0, 1536.875785, 0.0, 2.35664, 1km
0, 1533.315242, 0.0, 2.3770, 1km
0, 1529.758382, 0.0, 2.39736, 1km
0, 1526.205228, 0.0, 2.41773, 1km
0, 1522.655799, 0.0, 2.43809, 1km
0, 1519.110116, 0.0, 2.45845, 1km
0, 1515.5682, 0.0, 2.47882, 1km
0, 1512.03007, 0.0, 2.49918, 1km
0, 1508.495746, 0.0, 2.51955, 1km
0, 1504.965249, 0.0, 2.53991, 1km
0, 1501.438598, 0.0, 2.56027, 1km
0, 1497.915812, 0.0, 2.58064, 1km
0, 1494.396912, 0.0, 2.6010, 1km
0, 1490.881915, 0.0, 2.62136, 1km
0, 1487.370843, 0.0, 2.64173, 1km
0, 1483.863712, 0.0, 2.66209, 1km
0, 1480.360543, 0.0, 2.68245, 1km
0, 1476.861354, 0.0, 2.70282, 1km
0, 1473.366163, 0.0, 2.72318, 1km
0, 1469.87499, 0.0, 2.74355, 1km
0, 1466.387851, 0.0, 2.76391, 1km
0, 1462.904765, 0.0, 2.78427, 1km
0, 1459.425751, 0.0, 2.80464, 1km
0, 1455.950826, 0.0, 2.8250, 1km
0, 1452.480007, 0.0, 2.84536, 1km
0, 1449.013312, 0.0, 2.86573, 1km
0, 1445.550759, 0.0, 2.88609, 1km
0, 1442.092364, 0.0, 2.90645, 1km
0, 1438.638145, 0.0, 2.92682, 1km
0, 1435.188119, 0.0, 2.94718, 1km
0, 1431.742302, 0.0, 2.96755, 1km
0, 1428.300711, 0.0, 2.98791, 1km
0, 1424.863363, 0.0, 3.00827, 1km
0, 1421.430273, 0.0, 3.02864, 1km
0, 1418.001459, 0.0, 3.0490, 1km
0, 1414.576935, 0.0, 3.06936, 1km
0, 1411.156719, 0.0, 3.08973, 1km
0, 1407.740825, 0.0, 3.11009, 1km
0, 1404.329269, 0.0, 3.13045, 1km
0, 1400.922067, 0.0, 3.15082, 1km
0, 1397.519235, 0.0, 3.17118, 1km
0, 1394.120786, 0.0, 3.19155, 1km
0, 1390.726737, 0.0, 3.21191, 1km
0, 1387.337102, 0.0, 3.23227, 1km
0, 1383.951896, 0.0, 3.25264, 1km
0, 1380.571133, 0.0, 3.2730, 1km
1, 1373.612406, 0.0, 3.3150, 1km
1, 1363.448159, 0.0, 3.37656, 1km
1, 1353.325298, 0.0, 3.43811, 1km
1, 1343.244193, 0.0, 3.49967, 1km
1, 1333.205205, 0.0, 3.56122, 1km
1, 1323.208682, 0.0, 3.62278, 1km
1, 1313.254962, 0.0, 3.68433, 1km
1, 1303.344369, 0.0, 3.74589, 1km
1, 1293.477218, 0.0, 3.80744, 1km
1, 1283.653813, 0.0, 3.8690, 1km
1, 1273.874446, 0.0, 3.93056, 1km
1, 1264.139397, 0.0, 3.99211, 1km
1, 1254.448939, 0.0, 4.05367, 1km
1, 1244.80333, 0.0, 4.11522, 1km
1, 1235.20282, 0.0, 4.17678, 1km
1, 1225.647648, 0.0, 4.23833, 1km
1, 1216.138042, 0.0, 4.29989, 1km
1, 1206.674222, 0.0, 4.36144, 1km
1, 1197.256396, 0.0, 4.4230, 1km
1, 1187.884762, 0.0, 4.48456, 1km
1, 1178.559511, 0.0, 4.54611, 1km
1, 1169.28082, 0.0, 4.60767, 1km
1, 1160.04886, 0.0, 4.66922, 1km
1, 1150.863792, 0.0, 4.73078, 1km
1, 1141.725768, 0.0, 4.79233, 1km
1, 1132.634929, 0.0, 4.85389, 1km
1, 1123.59141, 0.0, 4.91544, 1km
1, 1114.595335, 0.0, 4.9770, 1km
1, 1105.64682, 0.0, 5.03856, 1km
1, 1096.745975, 0.0, 5.10011, 1km
1, 1087.892898, 0.0, 5.16167, 1km
1, 1079.087681, 0.0, 5.22322, 1km
1, 1070.330407, 0.0, 5.28478, 1km
1, 1061.621152, 0.0, 5.34633, 1km
1, 1052.959984, 0.0, 5.40789, 1km
1, 1044.346963, 0.0, 5.46944, 1km
1, 1035.782143, 0.0, 5.5310, 1km
1, 1027.265569, 0.0, 5.59256, 1km
1, 1018.79728, 0.0, 5.65411, 1km
1, 1010.377307, 0.0, 5.71567, 1km
1, 1002.005675, 0.0, 5.77722, 1km
1, 993.682403, 0.0, 5.83878, 1km
1, 985.407501, 0.0, 5.90033, 1km
1, 977.180975, 0.0, 5.96189, 1km
1, 969.002824, 0.0, 6.02344, 1km
1, 960.87304, 0.0, 6.0850, 1km
1, 952.791611, 0.0, 6.14656, 1km
1, 944.758516, 0.0, 6.20811, 1km
1, 936.773731, 0.0, 6.26967, 1km
1, 928.837226, 0.0, 6.33122, 1km
1, 920.948964, 0.0, 6.39278, 1km
1, 913.108903, 0.0, 6.45433, 1km
1, 905.316998, 0.0, 6.51589, 1km
1, 897.573197, 0.0, 6.57744, 1km
1, 889.877443, 0.0, 6.6390, 1km
1, 882.229673, 0.0, 6.70056, 1km
1, 874.629823, 0.0, 6.76211, 1km
1, 867.077821, 0.0, 6.82367, 1km
1, 859.573592, 0.0, 6.88522, 1km
1, 852.117056, 0.0, 6.94678, 1km
1, 844.708128, 0.0, 7.00833, 1km
1, 837.346721, 0.0, 7.06989, 1km
1, 830.032743, 0.0, 7.13144, 1km
1, 822.766097, 0.0, 7.1930, 1km
1, 815.546683, 0.0, 7.25456, 1km
1, 808.374397, 0.0, 7.31611, 1km
1, 801.249133, 0.0, 7.37767, 1km
1, 794.170779, 0.0, 7.43922, 1km
1, 787.139221, 0.0, 7.50078, 1km
1, 780.154342, 0.0, 7.56233, 1km
1, 773.21602, 0.0, 7.62389, 1km
1, 766.324131, 0.0, 7.68544, 1km
1, 759.47855, 0.0, 7.7470, 1km
1, 752.679146, 0.0, 7.80856, 1km
1, 745.925785, 0.0, 7.87011, 1km
1, 739.218334, 0.0, 7.93167, 1km
1, 732.556652, 0.0, 7.99322, 1km
1, 725.940601, 0.0, 8.05478, 1km
1, 719.370036, 0.0, 8.11633, 1km
1, 712.844813, 0.0, 8.17789, 1km
1, 706.364782, 0.0, 8.23944, 1km
1, 699.929794, 0.0, 8.3010, 1km
1, 693.539696, 0.0, 8.36256, 1km
1, 687.194334, 0.0, 8.42411, 1km
1, 680.893551, 0.0, 8.48567, 1km
1, 674.637189, 0.0, 8.54722, 1km
1, 668.425088, 0.0, 8.60878, 1km
1, 662.257085, 0.0, 8.67033, 1km
1, 656.133016, 0.0, 8.73189, 1km
1, 650.052715, 0.0, 8.79344, 1km
1, 644.016017, 0.0, 8.8550, 1km
1, 638.022751, 0.0, 8.91656, 1km
1, 632.072747, 0.0, 8.97811, 1km
1, 626.165834, 0.0, 9.03967, 1km
1, 620.301839, 0.0, 9.10122, 1km
1, 614.480587, 0.0, 9.16278, 1km
1, 608.701903, 0.0, 9.22433, 1km
1, 602.965609, 0.0, 9.28589, 1km
1, 597.271529, 0.0, 9.34744, 1km
1, 591.619483, 0.0, 9.4090, 1km
3, 237.167258, 0.0, 14.8150, 1km
3, 233.304408, 0.0, 14.9042, 1km
3, 229.494595, 0.0, 14.9935, 1km
3, 225.737295, 0.0, 15.0827, 1km
3, 222.031987, 0.0, 15.1720, 1km
3, 218.37815, 0.0, 15.2612, 1km
3, 214.775268, 0.0, 15.3505, 1km
3, 211.222825, 0.0, 15.4397, 1km
3, 207.720308, 0.0, 15.5289, 1km
3, 204.267208, 0.0, 15.6182, 1km
3, 200.863014, 0.0, 15.7074, 1km
3, 197.507222, 0.0, 15.7967, 1km
3, 194.199326, 0.0, 15.8859, 1km
3, 190.938826, 0.0, 15.9752, 1km
3, 187.725223, 0.0, 16.0644, 1km
3, 184.558017, 0.0, 16.1536, 1km
3, 181.436716, 0.0, 16.2429, 1km
3, 178.360826, 0.0, 16.3321, 1km
3, 175.329857, 0.0, 16.4214, 1km
3, 172.343322, 0.0, 16.5106, 1km
3, 169.400734, 0.0, 16.5998, 1km
3, 166.50161, 0.0, 16.6891, 1km
3, 163.64547, 0.0, 16.7783, 1km
3, 160.831836, 0.0, 16.8676, 1km
3, 158.06023, 0.0, 16.9568, 1km
3, 155.33018, 0.0, 17.0461, 1km
3, 152.641214, 0.0, 17.1353, 1km
3, 149.992864, 0.0, 17.2245, 1km
3, 147.384663, 0.0, 17.3138, 1km
3, 144.816148, 0.0, 17.4030, 1km
3, 142.286856, 0.0, 17.4923, 1km
3, 139.796331, 0.0, 17.5815, 1km
3, 137.344114, 0.0, 17.6708, 1km
3, 134.929753, 0.0, 17.76, 1km
3, 132.552797, 0.0, 17.8492, 1km
3, 130.212797, 0.0, 17.9385, 1km
3, 127.909307, 0.0, 18.0277, 1km
3, 125.641884, 0.0, 18.1170, 1km
3, 123.410087, 0.0, 18.2062, 1km
3, 121.21348, 0.0, 18.2955, 1km
3, 119.051625, 0.0, 18.3847, 1km
3, 116.924092, 0.0, 18.4739, 1km
3, 114.83045, 0.0, 18.5632, 1km
3, 112.770273, 0.0, 18.6524, 1km
3, 110.743136, 0.0, 18.7417, 1km
3, 108.748618, 0.0, 18.8309, 1km
3, 106.786302, 0.0, 18.9202, 1km
3, 104.85577, 0.0, 19.0094, 1km
3, 102.956611, 0.0, 19.0986, 1km
3, 101.088415, 0.0, 19.1879, 1km
3, 99.250775, 0.0, 19.2771, 1km
3, 97.443287, 0.0, 19.3664, 1km
3, 95.66555, 0.0, 19.4556, 1km
3, 93.917167, 0.0, 19.5448, 1km
3, 92.197742, 0.0, 19.6341, 1km
3, 90.506885, 0.0, 19.7233, 1km
3, 88.844205, 0.0, 19.8126, 1km
3, 87.209318, 0.0, 19.9018, 1km
3, 85.60184, 0.0, 19.9911, 1km
3, 84.021393, 0.0, 20.0803, 1km
3, 82.467601, 0.0, 20.1695, 1km
3, 80.940089, 0.0, 20.2588, 1km
3, 79.438489, 0.0, 20.3480, 1km
3, 77.962433, 0.0, 20.4373, 1km
3, 76.511558, 0.0, 20.5265, 1km
3, 75.085503, 0.0, 20.6158, 1km
3, 73.683912, 0.0, 20.7050, 1km
3, 72.306431, 0.0, 20.7942, 1km
3, 70.95271, 0.0, 20.8835, 1km
3, 69.6224, 0.0, 20.9727, 1km
3, 68.315159, 0.0, 21.0620, 1km
