,Error,Accuracy,Precision,Test Time
500m,0.012499999999999956,0.9875,0.9875,0.0009467601776123047
1km,0.012499999999999956,0.9875,0.9875,0.0030031204223632812
1_5km,0.23750000000000004,0.7625,0.7625,0.0015141963958740234
2km,0.03749999999999998,0.9625,0.9625,0.0010066032409667969
2_5km,0.25,0.75,0.75,0.0010006427764892578
