,Error,Accuracy,Precision,Test Time
500m,0.012499999999999956,0.9875,0.9875,0.0032863616943359375
1km,0.0,1.0,1.0,0.00402522087097168
1_5km,0.0,1.0,1.0,0.0009984970092773438
2km,0.0,1.0,1.0,0.0009961128234863281
2_5km,0.25,0.75,0.75,0.0009989738464355469
